"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"86","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","impulse buyi kind of regret it now","necronomibro","this is not quite a ding on the heavyarms as a model as it appears to be as fun to build as any other mg i purchased this model hoping the incredible minigun maxigun would win me over it arrived today and i happily opened the box up to see the spruesi just cant get past all the missiles on the upper torso yeah i get it its scifi suspend disbelief and all that but missiles or mortars rockets whatever on the inside of the doors looking at the pods along the lower leg which are very cool by the way there is nowhere near enough depth in the lids to house more whatevertheyare ugh and dont get me started on the nippleblasters i have never watched endless waltz but those things at best would be single shot i hope they arent supposed to be more miniguns no way there can be adequate ammo stowagenowthe minigun that thing is freaking awesome i didnt bust open the sealed sprues but i did thumb through the instructions i love how they did the feed chute from the ammo drum to the gun i am almost tempted to not return this just to keep the minigun for some other projecti prefer the grunt gundamsthe buster is my favorite mg thus far while colorful its not garish its weaponry borders on feasible it looks like something youd find on a battlefield the heavyarmsit looks like a clown with a minigunjust a matter of opinion",2016-12-07,5,"verified purchase"
"87","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","pew pew pew gundam","necronomibro","holy crap this is cool i grew up on gundam wing and my favorite was trowaheavy arms so being able to build it was such a great experience i do have some pros and conscons its intimidating going from hg to mg was crazy it takes twice as long as you have to be careful not to accidentally snap any of the pieces  recommend cutters also the stickers were rediculous  about pros all of the cons dont even amount to the joy you get out of building it the noble suit moves well and after one day of building  hours it was finished the colors are great and the detail is magnificentdefinitely recommend this for your collection i still am going to go in and paint the missiles and maybe add some age and battle damage so get it you wont regret it",2016-05-08,4,"verified purchase"
"88","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","heavy arms reigns supreme","allen cowan","heavy arms was always an odd ball from the show he was amazing cause of his arsenal but he would run out of ammo and become kinda silly this slightly alt ew design feels really pure but more powerful with the gattling gun ammo canisterthe kits parts are soft and easy to trim they slot into each other much easier than some of my other kits it just feels like a simple and clean kitif you like gundam wing and are into model kits this is a great ew mg  model especially for beginners mostly due to the softness of the plastic",2020-05-03,4,"verified purchase"
"89","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","one of the best new ew  mg gundams","verdee  david","this redesign of the classic gundam heavy arms is one of the best redesigns the aesthetic removes the color swap and dualdual chain guns in favor of a more advanced version of the mech seen on the popular television showqualitymolded plastic removes a large need to paint large sections of the model the blue details on the chest snap into place removing the need to use decals the sculpt of the parts is solid and the amount of detail is very higharticulationlimited mobility in the ankles in favor of a more tanklike design the mobility elsewhere more than makes up for that though wide range of poses are availablethe special features of this model are what pushes it over the top larger chain gun with flexible ammo belt removable combat knife and the ability to hide a beam sword in the left arm beam for sabre not includedoverall this is by far one of the best new models to come out of the new endless waltz series of master grade  scale models",2012-05-04,3,"verified purchase"
"90","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","great looking kit but not perfect","verdee  david","overall this was a fun build these pictures illustrate what can be done with some painting and weathering techniques im not sure if the top coats i applied and oil paints used for the weathring effects didnt react well to the plastic i had some hinges break on the chest as wel as the leg missle pods for no apparent reason i didnt handle the parts roughly one of the antenna is soon to break off soon as well also the leg joints arent real stiff so posing it can be a bit challeging at times these issues are the only reason it didnt get  stars from me",2018-12-07,5,"verified purchase"
"91","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","awesome model but my shield is missing ","meki","this model kit took me about hours to put together and i still need to put the decals on so im not  done yet however i wont ever be  done apparently because my model kit is missing its freaking shield  i really have no idea how this even happened but without the shield my heavy arms mg wont ever be  finished and this upsets mei also unfortunately didnt notice it missing intill the model was  finished this really does upset me and thats why it lost a star otherwise though this model is sturdy and durable and wasnt hard to posealthough the beam gatling gun gave me some troubleif it was possible i would love to somehow get the shield though ",2016-04-02,4,"verified purchase"
"92","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","excelente producto","german alejandro gomez","todo fu excelente me tomo una sema en armarlo otra cosa muy importante es el tiempo de entrega fue antes del previsto",2022-10-23,4,"verified purchase"
"93","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","great price and fast shipping","edo","great price and fast shipping great seller will buy again",2022-12-19,5,"verified purchase"
"94","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","fantastic kit one or two minor issues","amazon customer","this is my second master grade bandai kit  the first one deathscythe was flawless  this one was great with a few minor issues  the main issue though is that the giant gatling gun is difficult to attach and is only held on by the hand of the model  it would be nice if there was a large tab and slot like the knife and shield attachment to hold the massive gun more securely  also the rockets in the pods are molded in the same color as the pods so i had to paint them silver to make them stand out more not a big deal but they are silver on the box  i am loving these bandai master grade kits and i cant wait for my epyon kit to arrive ",2015-03-18,5,"verified purchase"
"95","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","lots of fun","betterthanjesus","if you love building model kits you know youre gonna have a good time with this fella i was skeptical when they didnt go with the navyteal design id been familiar with but heavyarms was a lot of fun putting together if i had to make a critique i would say that it was difficult trying to pose him with the gun without using superglue to cement the whole thing together you really need to commit to a good actiony pose and theres a lot of bulky limbs to take into account when you get this guy into a final pose",2019-08-24,4,"verified purchase"
"96","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","very good kit","sypike","everything arrived on time and in perfect conditionthe first mg i built i built  hgs before heavyarms and got this kit based on reviews that said it was an easier build a little yes and a little no there are some pieces on the kit that are not hard but tedious as you have to put tiny pieces into other tiny pieces all while making sure that everything is going the right direction not hard but frustrating sometimes i also had no idea about decals at the time and put the whole thing together before putting on the decals dont do that as there are numerous tiny stickers and dry transfers that go in hard to reach spotsall in all a good learning experience but i would wait to build an mg before this getting this kit",2015-07-30,5,"verified purchase"
"97","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","fun in a box","stephyhime","my first model in almost  years this took about  hours without interruption and was heaps of fun there is much left to do like cleaning up sanding detail stickers detail painting especially the mounted missile pods which are amazing and maybe some light weathering the balance is good enough and the gimicks are very nice you will either love the missile pod doors or hate them i was not a fan of the wire ammo braid  if wasnt long enough and just kept getting in the way while posing i eventually removed it while posing and reattached iti did have an extra part that i have no idea where it goes",2017-08-28,5,"verified purchase"
"98","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","pretty solid mg kit","nathan morton","i just have two minor caveats the little end bits for the ammo belt thing like to come off so you may need to glue them so theyll stay on that bendy plastic ribbon it comes with a beam saber handle and the sword holder bit to replace one of the arms but does not include a beam itself so if you want to have a full beam saber youll have to use one from another mg kit",2019-10-10,5,"verified purchase"
"99","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","great early mg","doug welyczko","i wanted to rate this  stars because heavyarms is one of my favorite gundams of all time but there are some super bad nubs some questionable design choices the combat knife is longer than his arm and also the gun doesnt slide over his arm like in the showmanga hes just carrying it the hands are annoying in that they have the swappable fingers and the missiles and chest guns require buckets of paint but otherwise this model is highly recommended",2019-05-19,4,"verified purchase"
